category,year,number,amount
Exporter,2007,250,"104,071"
Importer,2007,378,"86,679"
Manufacturer,2007,"6,785","883,117"
Retailer,2007,"43,285","802,341,426"
Service,2007,"35,187","7,464,161"
Wholesaler,2007,"2,452","420,381"
Exporter,2008,240,"133,026"
Importer,2008,377,"63,739"
Manufacturer,2008,"6,467","2,270,276"
Retailer,2008,"63,572","11,117,199"
Service,2008,"47,162","10,007,063"
Wholesaler,2008,"2,473","437,939"
Exporter,2009,245,"169,845"
Importer,2009,265,"156,318"
Manufacturer,2009,"7,033","1,069,054"
Retailer,2009,"48,667","12,302,682"
Service,2009,"48,129","14,270,252"
Wholesaler,2009,"2,333","1,611,551"
Exporter,2010,126,"70,062"
Importer,2010,188,"38,849"
Manufacturer,2010,"4,517","584,414"
Retailer,2010,"31,585","20,174,047"
Service,2010,"33,184","5,774,854"
Wholesaler,2010,"1,764","826,935"
