year,type_irrigation_systems_or_projects,area
1996,National,"2,311"
1997,National,"19,495"
1998,National,"8,803"
1999,National,"2,706"
2000,National,"4,557"
2001,National,"11,604"
2002,National,"14,841"
2003,National,"12,535"
2004,National,"4,581"
2005,National,"6,972"
2006,National,"3,273"
2007,National,"8,673"
2008,National,"9,023"
2009,National,"6,299"
2010,National,"4,358"
2011,National,"16,451"
2012,National,"22,834"
1996,Communal,"7,829"
1997,Communal,"20,749"
1998,Communal,"16,322"
1999,Communal,"6,915"
2000,Communal,"6,529"
2001,Communal,"9,446"
2002,Communal,"13,307"
2003,Communal,"8,226"
2004,Communal,"5,958"
2005,Communal,"5,155"
2006,Communal,"5,716"
2007,Communal,"6,364"
2008,Communal,"4,458"
2009,Communal,"3,610"
2010,Communal,"2,245"
2011,Communal,"7,472"
2012,Communal,"32,666"
