region,month,production
IV-A,January,14
IV-A,February,234
IV-A,March,129
IV-A,April,310
IV-A,May,325
IV-A,June,24
IV-A,July,55
IV-A,August,60
IV-A,September,284
IV-A,October,0
IV-A,November,0
IV-A,December,0
IX,January,"2,752"
IX,February,"2,477"
IX,March,"2,793"
IX,April,"4,151"
IX,May,"3,585"
IX,June,"3,679"
IX,July,"3,938"
IX,August,"4,030"
IX,September,"2,574"
IX,October,0
IX,November,0
IX,December,0
XI,January,"1,386"
XI,February,"1,680"
XI,March,"2,476"
XI,April,"3,585"
XI,May,"5,430"
XI,June,"3,483"
XI,July,"2,639"
XI,August,"2,945"
XI,September,"2,329"
XI,October,"2,166"
XI,November,"1,488"
XI,December,602
XII,January,25
XII,February,50
XII,March,74
XII,April,75
XII,May,50
XII,June,25
XII,July,249
XII,August,182
XII,September,50
XII,October,274
XII,November,149
XII,December,124
XIII,January,"5,110"
XIII,February,"7,273"
XIII,March,"7,160"
XIII,April,"7,002"
XIII,May,"8,242"
XIII,June,"4,361"
XIII,July,"3,632"
XIII,August,"4,897"
XIII,September,"6,150"
XIII,October,"3,773"
XIII,November,"4,773"
XIII,December,"3,632"
